Math | Easy | What is  15 + 27 ?
Biology | Easy | What is the basic unit of life in all living organisms?
Biology | Easy | What organ in the human body is responsible for pumping blood?
Biology | Easy | Which gas do humans inhale to survive?
Biology | Easy | What is the function of roots in a plant?
Biology | Medium | What is the difference between prokaryotic and eukaryotic cells?
Biology | Medium | Name the organelle in plant cells responsible for photosynthesis.
Biology | Medium | What is the role of the circulatory system in the human body?
Biology | Medium | Define the term “ecosystem.”
Biology | Medium | What is the function of white blood cells in the human body?
Biology | Hard | Explain how genetic traits are passed from parents to offspring.
Biology | Hard | Describe the process of cellular respiration and its importance to living organisms.
Biology | Hard | What is the difference between mitosis and meiosis?
Biology | Hard | How do mutations in DNA affect an organism?
Biology | Hard | What is the role of nitrogen-fixing bacteria in the nitrogen cycle?

CS | Easy | What does CPU stand for?
CS | Easy | What is the primary function of an operating system?
CS | Easy | What is the term for a set of instructions that a computer follows to perform a task?
CS | Easy | What is the name of the device used to input text into a computer?
CS | Easy | What does “www” stand for in a web address?
CS | Medium | What is the difference between hardware and software?
CS | Medium | Define the term “algorithm.”
CS | Medium | What is the function of RAM in a computer?
CS | Medium | What does HTML stand for, and what is it used for?
CS | Medium | Explain the difference between a file and a folder on a computer.
CS | Hard | What is the difference between a compiler and an interpreter?
CS | Hard | Explain the concept of binary and why computers use it.
CS | Hard | What is the role of an IP address in computer networks?
CS | Hard | Describe the purpose of encryption in cybersecurity.
CS | Hard | What is recursion in programming, and provide an example of its use?

Python | Easy | What does the print() function do in Python?
Python | Easy | How do you create a variable in Python?
Python | Easy | What is the result of the expression 5 + 3 * 2 in Python?
Python | Easy | How do you write a comment in Python?
Python | Easy | What is the correct syntax to create a list in Python?
Python | Medium | How do you define a function in Python?
Python | Medium | What is the difference between a for loop and a while loop in Python?
Python | Medium | How do you convert a string “123” into an integer in Python?
Python | Medium | What does the len() function do in Python?
Python | Medium | How would you access the first item in a list called my_list?
Python | Hard | What is the difference between a tuple and a list in Python?
Python | Hard | How can you handle exceptions in Python?
Python | Hard | What does the range() function do, and how is it used in loops?
Python | Hard | Explain the concept of a dictionary in Python and how you access its values.
Python | Hard | What does the lambda function do in Python, and when would you use it?

